Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
FANTASTIC * HALEY ATWELL 'S CAPTAIN CARTER * LASHANA LYNCH 'S CAPTAIN MARVEL,1.0,0.0,,inf
GUARDIANS OF THE GALAXY - RAGNAROK,1.0,0.0,,inf
IRON MAN 3 - HAS A SPIDER - MAN 3,1.0,0.0,,inf
LONG RANGE BOX OFFICE FORECAST : MARVEL STUDIOS ’ DOCTOR STRANGE,1.0,0.0,,inf
MAN OF STEEL** BATMAN V SUPERMAN : DAWN OF JUSTICE,1.0,0.0,,inf
SPIDER-MAN SPINOFF MORBIUS ' OPENING BOX OFFICE LOOKING GOOD,1.0,0.0,,inf
STONES - CAPTAIN MARVEL,1.0,0.0,,inf
"THE BATMAN , THE SUICIDE SQUAD , MAN OF STEEL",1.0,0.0,,inf
"THE SUICIDE SQUAD , THE BATMAN",1.0,0.0,,inf
THE UNCANNY X- MEN- BLACK WIDOW : WINTER GUARD- ETERNALS : WORLD FORGE - DOCTOR STRANGE,1.0,0.0,,inf
THOR : LOVE AND THUNDER - SHE-HULK - BLACK PANTHER,1.0,0.0,,inf
TOM KING 'S BATMAN,1.0,0.0,,inf
"VENOM "" MORBIUS",1.0,0.0,,inf
ZACK SNYDER 'S JUSTICE LEAGUE,1.0,0.0,,inf
ZACK SNYDER 'S JUSTICE LEAGUE BEATS AVENGERS : ENDGAME,1.0,0.0,,inf
_DAREDEVIL_ - _JESSICA JONES_- _LUKE CAGE_ - _IRON FIST_ - _THE DEFENDERS _- _THE PUNISHER_###,1.0,0.0,,inf
AGENT CARTER,,,33.0,
ALL HAIL THE KING,,,1.0,
ANT-MAN AND THE WASP: QUANTUMANIA,,,1.0,
ANT-MAN FILM,,,1.0,
ARCHENEMY,,,1.0,
ARRIVAL,,,6.0,
AVENGERS: AGE OF ULTRON,,,3.0,
AVENGERS: ENDGAME,,,8.0,
AVENGERS: INFINITY WAR,,,6.0,
BATMAN V SUPERMAN: DAWN OF JUSTICE,,,1.0,
BATMAN: THE LONG HALLOWEEN,,,2.0,
BLACK PANTHER FILM,,,1.0,
BLACK PANTHER: WAKANDA FOREVER,,,6.0,
CAPTAIN AMERICA: CIVIL WAR,,,5.0,
CAPTAIN AMERICA: THE FIRST AVENGER,,,2.0,
CAPTAIN AMERICA: THE WINTER SOLDIER,,,5.0,
CHRONICLE,,,4.0,
ENHANCED,,,6.0,
FANTASTIC FOUR 2015,,,1.0,
FLASH GORDON,,,1.0,
FLASHES,,,3.0,
GHOST RIDER: SPIRIT OF VENGEANCE,,,2.0,
GUARDIANS OF THE GALAXY,,,42.0,
KRULL,,,35.0,
MASTERS OF THE UNIVERSE,,,1.0,
MORBIUS FILM,,,2.0,
ROGUE ONE,,,1.0,
SHANG-CHI AND THE LEGEND OF THE TEN RINGS,,,3.0,
SOLO: A STAR WARS STORY,,,1.0,
SPIDER-MAN: FAR FROM HOME,,,6.0,
SPIDER-MAN: HOMECOMING,,,7.0,
SPIDER-MAN: NO WAY HOME,,,40.0,
STAR WARS,,,31.0,
THE AMAZING SPIDER-MAN,,,12.0,
THE AMAZING SPIDER-MAN 2,,,3.0,
THE NEW MUTANTS,,,5.0,
THE WOLVERINE,,,4.0,
THOR FILM,,,8.0,
THOR: LOVE AND THUNDER,,,60.0,
THOR: RAGNAROK,,,8.0,
THOR: THE DARK WORLD,,,13.0,
VENOM: LET THERE BE CARNAGE,,,4.0,
X-MEN FILM,,,12.0,
X-MEN: APOCALYPSE,,,3.0,
X-MEN: DAYS OF FUTURE PAST,,,1.0,
X-MEN: FIRST CLASS,,,1.0,
X-MEN: THE LAST STAND,,,3.0,
ZACK SNYDER'S JUSTICE LEAGUE,,,2.0,
